,date,moonPhase
918,2017-12-19,0.04
919,2017-12-20,0.07
920,2017-12-21,0.1
921,2017-12-22,0.14
922,2017-12-23,0.17
923,2017-12-24,0.2
924,2017-12-25,0.23
925,2017-12-26,0.27
926,2017-12-27,0.3
927,2017-12-28,0.34
928,2017-12-29,0.37
929,2017-12-30,0.41
930,2017-12-31,0.45
931,2018-01-01,0.48
932,2018-01-02,0.52
933,2018-01-03,0.56
934,2018-01-04,0.6
935,2018-01-05,0.63
936,2018-01-06,0.67
937,2018-01-07,0.71
938,2018-01-08,0.74
939,2018-01-09,0.77
940,2018-01-10,0.8
941,2018-01-11,0.84
942,2018-01-12,0.87
943,2018-01-13,0.9
944,2018-01-14,0.93
945,2018-01-15,0.96
946,2018-01-16,0.99
947,2018-01-17,0.02
948,2018-01-18,0.05
949,2018-01-19,0.08
950,2018-01-20,0.11
951,2018-01-21,0.14
952,2018-01-22,0.18
953,2018-01-23,0.21
954,2018-01-24,0.25
955,2018-01-25,0.28
956,2018-01-26,0.32
957,2018-01-27,0.36
958,2018-01-28,0.4
959,2018-01-29,0.43
960,2018-01-30,0.47
961,2018-01-31,0.51
962,2018-02-01,0.55
963,2018-02-02,0.58
964,2018-02-03,0.62
965,2018-02-04,0.65
966,2018-02-05,0.69
967,2018-02-06,0.72
968,2018-02-07,0.75
969,2018-02-08,0.78
970,2018-02-09,0.81
971,2018-02-10,0.84
972,2018-02-11,0.87
973,2018-02-12,0.9
974,2018-02-13,0.93
975,2018-02-14,0.96
976,2018-02-15,0.99
977,2018-02-16,0.03
978,2018-02-17,0.06
979,2018-02-18,0.09
980,2018-02-19,0.12
981,2018-02-20,0.16
982,2018-02-21,0.2
983,2018-02-22,0.23
984,2018-02-23,0.27
985,2018-02-24,0.31
986,2018-02-25,0.34
987,2018-02-26,0.38
988,2018-02-27,0.42
989,2018-02-28,0.46
990,2018-03-01,0.49
991,2018-03-02,0.53
992,2018-03-03,0.56
993,2018-03-04,0.6
994,2018-03-05,0.63
995,2018-03-06,0.66
996,2018-03-07,0.7
997,2018-03-08,0.73
998,2018-03-09,0.76
999,2018-03-10,0.79
1000,2018-03-11,0.82
1001,2018-03-12,0.85
1002,2018-03-13,0.88
1003,2018-03-14,0.91
1004,2018-03-15,0.94
1005,2018-03-16,0.97
1006,2018-03-17,0.01
1007,2018-03-18,0.04
1008,2018-03-19,0.07
1009,2018-03-20,0.11
1010,2018-03-21,0.14
1011,2018-03-22,0.18
1012,2018-03-23,0.22
1013,2018-03-24,0.25
1014,2018-03-25,0.29
1015,2018-03-26,0.33
1016,2018-03-27,0.37
1017,2018-03-28,0.4
1018,2018-03-29,0.44
1019,2018-03-30,0.47
1020,2018-03-31,0.52
1021,2018-04-01,0.55
1022,2018-04-02,0.58
1023,2018-04-03,0.61
1024,2018-04-04,0.64
1025,2018-04-05,0.67
1026,2018-04-06,0.7
1027,2018-04-07,0.73
1028,2018-04-08,0.76
1029,2018-04-09,0.79
1030,2018-04-10,0.82
1031,2018-04-11,0.85
1032,2018-04-12,0.88
1033,2018-04-13,0.92
1034,2018-04-14,0.95
1035,2018-04-15,0.98
1036,2018-04-16,0.02
1037,2018-04-17,0.06
1038,2018-04-18,0.09
1039,2018-04-19,0.13
1040,2018-04-20,0.17
1041,2018-04-21,0.2
1042,2018-04-22,0.24
1043,2018-04-23,0.28
1044,2018-04-24,0.32
1045,2018-04-25,0.35
1046,2018-04-26,0.39
1047,2018-04-27,0.42
1048,2018-04-28,0.46
1049,2018-04-29,0.48
1050,2018-04-30,0.53
1051,2018-05-01,0.56
1052,2018-05-02,0.59
1053,2018-05-03,0.62
1054,2018-05-04,0.65
1055,2018-05-05,0.68
1056,2018-05-06,0.71
1057,2018-05-07,0.74
1058,2018-05-08,0.77
1059,2018-05-09,0.8
1060,2018-05-10,0.83
1061,2018-05-11,0.86
1062,2018-05-12,0.9
1063,2018-05-13,0.93
1064,2018-05-14,0.97
1065,2018-05-15,0.01
1066,2018-05-16,0.04
1067,2018-05-17,0.08
