,Date,Percent Illumination,Total Crimes,City
606,2016-08-29,11.0,193,
607,2016-08-30,5.0,177,
608,2016-08-31,1.0,209,
609,2016-09-01,0.0,219,
610,2016-09-02,1.0,212,
611,2016-09-03,3.0,196,
612,2016-09-04,8.0,193,
613,2016-09-05,14.0,168,
614,2016-09-06,21.0,218,
615,2016-09-07,29.0,201,
616,2016-09-08,38.0,230,
617,2016-09-09,47.0,223,
618,2016-09-10,57.0,197,
619,2016-09-11,67.0,169,
620,2016-09-12,76.0,186,
621,2016-09-13,84.0,189,
622,2016-09-14,91.0,197,
623,2016-09-15,97.0,178,
624,2016-09-16,100.0,196,
625,2016-09-17,100.0,164,
626,2016-09-18,97.0,176,
627,2016-09-19,92.0,216,
628,2016-09-20,84.0,222,
629,2016-09-21,74.0,205,
630,2016-09-22,64.0,200,
631,2016-09-23,52.0,227,
632,2016-09-24,41.0,201,
633,2016-09-25,31.0,181,
634,2016-09-26,22.0,174,
635,2016-09-27,14.0,208,
636,2016-09-28,7.0,160,
637,2016-09-29,3.0,201,
638,2016-09-30,1.0,207,
639,2016-10-01,0.0,184,
640,2016-10-02,1.0,179,
641,2016-10-03,5.0,210,
642,2016-10-04,9.0,177,
643,2016-10-05,15.0,181,
644,2016-10-06,23.0,176,
645,2016-10-07,31.0,230,
646,2016-10-08,41.0,189,
647,2016-10-09,50.0,190,
648,2016-10-10,60.0,201,
649,2016-10-11,70.0,182,
650,2016-10-12,80.0,158,
651,2016-10-13,88.0,194,
652,2016-10-14,94.0,200,
653,2016-10-15,99.0,166,
654,2016-10-16,100.0,192,
655,2016-10-17,98.0,206,
656,2016-10-18,94.0,182,
657,2016-10-19,87.0,236,
658,2016-10-20,78.0,193,
659,2016-10-21,67.0,202,
660,2016-10-22,57.0,184,
661,2016-10-23,46.0,194,
662,2016-10-24,36.0,189,
663,2016-10-25,26.0,212,
664,2016-10-26,18.0,212,
665,2016-10-27,11.0,204,
666,2016-10-28,6.0,182,
667,2016-10-29,2.0,191,
668,2016-10-30,0.0,195,
669,2016-10-31,0.0,171,
670,2016-11-01,2.0,242,
671,2016-11-02,6.0,197,
672,2016-11-03,11.0,194,
673,2016-11-04,17.0,177,
674,2016-11-05,25.0,160,
675,2016-11-06,34.0,162,
676,2016-11-07,44.0,178,
677,2016-11-08,54.0,162,
678,2016-11-09,65.0,187,
679,2016-11-10,75.0,159,
680,2016-11-11,84.0,165,
681,2016-11-12,92.0,153,
682,2016-11-13,97.0,152,
683,2016-11-14,100.0,173,
684,2016-11-15,99.0,174,
685,2016-11-16,96.0,178,
686,2016-11-17,90.0,177,
687,2016-11-18,82.0,159,
688,2016-11-19,72.0,141,
689,2016-11-20,62.0,161,
690,2016-11-21,52.0,174,
691,2016-11-22,42.0,147,
692,2016-11-23,32.0,177,
693,2016-11-24,23.0,96,
694,2016-11-25,16.0,188,
695,2016-11-26,10.0,172,
696,2016-11-27,5.0,137,
697,2016-11-28,2.0,168,
698,2016-11-29,0.0,175,
699,2016-11-30,1.0,189,
700,2016-12-01,3.0,224,
701,2016-12-02,7.0,166,
702,2016-12-03,12.0,168,
703,2016-12-04,20.0,147,
704,2016-12-05,28.0,151,
705,2016-12-06,38.0,150,
706,2016-12-07,48.0,117,
707,2016-12-08,59.0,159,
708,2016-12-09,70.0,173,
709,2016-12-10,80.0,174,
710,2016-12-11,89.0,155,
711,2016-12-12,95.0,160,
712,2016-12-13,99.0,181,
713,2016-12-14,100.0,187,
714,2016-12-15,98.0,165,
715,2016-12-16,93.0,168,
716,2016-12-17,86.0,130,
717,2016-12-18,78.0,108,
718,2016-12-19,69.0,169,
719,2016-12-20,59.0,147,
720,2016-12-21,49.0,187,
721,2016-12-22,39.0,180,
722,2016-12-23,30.0,191,
723,2016-12-24,22.0,161,
724,2016-12-25,15.0,95,
725,2016-12-26,9.0,143,
726,2016-12-27,4.0,178,
727,2016-12-28,1.0,162,
728,2016-12-29,0.0,168,
729,2016-12-30,1.0,205,
730,2016-12-31,4.0,180,
731,2017-01-01,8.0,258,
732,2017-01-02,15.0,164,
733,2017-01-03,23.0,179,
734,2017-01-04,33.0,134,
735,2017-01-05,43.0,117,
736,2017-01-06,54.0,151,
737,2017-01-07,66.0,164,
738,2017-01-08,76.0,132,
739,2017-01-09,85.0,174,
740,2017-01-10,93.0,178,
741,2017-01-11,98.0,197,
742,2017-01-12,100.0,177,
743,2017-01-13,99.0,194,
744,2017-01-14,96.0,154,
745,2017-01-15,91.0,158,
746,2017-01-16,84.0,167,
747,2017-01-17,76.0,183,
748,2017-01-18,66.0,190,
749,2017-01-19,57.0,195,
750,2017-01-20,47.0,186,
751,2017-01-21,38.0,197,
752,2017-01-22,29.0,174,
753,2017-01-23,21.0,196,
754,2017-01-24,14.0,193,
755,2017-01-25,8.0,186,
756,2017-01-26,3.0,186,
757,2017-01-27,1.0,206,
758,2017-01-28,0.0,188,
759,2017-01-29,2.0,180,
760,2017-01-30,5.0,219,
761,2017-01-31,11.0,210,
762,2017-02-01,19.0,178,
763,2017-02-02,29.0,159,
764,2017-02-03,39.0,186,
765,2017-02-04,50.0,198,
766,2017-02-05,62.0,157,
767,2017-02-06,73.0,191,
768,2017-02-07,82.0,208,
769,2017-02-08,90.0,167,
770,2017-02-09,96.0,179,
771,2017-02-10,99.0,195,
772,2017-02-11,100.0,209,
773,2017-02-12,98.0,142,
774,2017-02-13,95.0,178,
775,2017-02-14,89.0,208,
776,2017-02-15,82.0,215,
777,2017-02-16,74.0,190,
778,2017-02-17,65.0,218,
779,2017-02-18,56.0,173,
780,2017-02-19,46.0,152,
781,2017-02-20,37.0,158,
782,2017-02-21,28.0,205,
783,2017-02-22,20.0,186,
784,2017-02-23,13.0,173,
785,2017-02-24,7.0,164,
786,2017-02-25,2.0,143,
787,2017-02-26,0.0,155,
788,2017-02-27,0.0,200,
789,2017-02-28,3.0,156,
790,2017-03-01,8.0,211,
791,2017-03-02,16.0,149,
792,2017-03-03,25.0,195,
793,2017-03-04,36.0,183,
794,2017-03-05,47.0,184,
795,2017-03-06,58.0,202,
796,2017-03-07,69.0,164,
797,2017-03-08,79.0,175,
798,2017-03-09,87.0,203,
799,2017-03-10,94.0,210,
800,2017-03-11,98.0,167,
801,2017-03-12,100.0,162,
802,2017-03-13,100.0,193,
803,2017-03-14,97.0,187,
804,2017-03-15,93.0,178,
805,2017-03-16,88.0,198,
